"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Searching for Airport Cab details in EaseMyTrip Website","Cab booking with Excel data for Airport Pickup and Drop","0","0","2","0","0"
"","Searching for Giftards details on EaseMyTrip","validating the giftcards by giving Email and Mobile Number","0","0","3","0","0"
"","Searching for Outstation Cab details on EaseMyTrip","Book Outstation for round-way trip","0","0","1","0","0"
"","Searching for Hourly Cab details on EaseMyTrip","Book hourly rental with time, date and SUV filter","0","0","1","0","0"
"","Searching for Outstation Cab details on EaseMyTrip","Book Outstation with one-way trip","0","0","1","0","0"
"","Searching for Hotel details on EaseMyTrip","Fetching the hotels available for filterd options","0","0","1","0","0"
"","Search Activities on EaseMyTrip","Selecting city, date and filtering day trips","0","0","1","0","0"
